date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,20,0,0,0,0,0,,,A,2,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,19,0.45,3,3,0,0,,,"A,B",2,6.666666667
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,18,0,0,0,0,0,,,A,2,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,17,0,0,0,0,0,,,A,2,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,16,0.55,0,0,0,0,,,E,2,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,15,0,1,1,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,14,0.45,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,13,0.85,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,12,0.2,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,11,0.3,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,10,0,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,9,0.25,4,4,0,0,,,A,1,16
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,8,0.4,0,0,0,0,plant,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,7,0.6,1,1,0,0,,,A,1,1.666666667
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,6,0,2,2,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,5,0.25,1,1,0,0,,,A,1,4
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,4,0.2,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Bartlett,3,0,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,19,0.3,1,1,0,0,,,A,1,3.333333333
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,18,0.5,0,0,0,0,,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,17,0,1,1,0,0,paper,,A,1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,16,0.3,0,0,0,0,,,"A,B",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,15,0,1,1,0,0,,,"A,B",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,14,0.4,2,2,0,0,,,"A,B",1,5
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,13,0.35,0,0,0,0,,,"A,B",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,12,1.7,6,5,0,0,1 shirt ,,"A,B",1,3.529411765
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,11,0,0,0,0,0,Extra sign ,,"A,C",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,10,0.4,2,2,0,0,,,"A,C",1,5
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,9,1.85,6,4,0,0,2 Household wastes,,"A,C",1,3.243243243
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,8,0.65,3,3,0,0,,,"A,C,D",1,4.615384615
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,7,0,0,0,0,0,,,"A,B",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,6,0.3,0,0,0,0,,,"A,C",1,0
March 4,3:30pm-5:00pm,Shannon and Caroline,Braeburn,5,0,0,0,0,0,,,"A,C",1,0
