date,building,floor,weight,num_contam,plastic,item_per_kilo
March 4,Bartlett,20,0,0,0,0
March 4,Bartlett,19,0.45,3,3,6.666666667
March 4,Bartlett,18,0,0,0,0
March 4,Bartlett,17,0,0,0,0
March 4,Bartlett,16,0.55,0,0,0
March 4,Bartlett,15,0,1,1,0
March 4,Bartlett,14,0.45,0,0,0
March 4,Bartlett,13,0.85,0,0,0
March 4,Bartlett,12,0.2,0,0,0
March 4,Bartlett,11,0.3,0,0,0
March 4,Bartlett,10,0,0,0,0
March 4,Bartlett,9,0.25,4,4,16
March 4,Bartlett,8,0.4,0,0,0
March 4,Bartlett,7,0.6,1,1,1.666666667
March 4,Bartlett,6,0,2,2,0
March 4,Bartlett,5,0.25,1,1,4
March 4,Bartlett,4,0.2,0,0,0
March 4,Bartlett,3,0,0,0,0
March 4,Braeburn,19,0.3,1,1,3.333333333
March 4,Braeburn,18,0.5,0,0,0
March 4,Braeburn,17,0,1,1,0
March 4,Braeburn,16,0.3,0,0,0
March 4,Braeburn,15,0,1,1,0
March 4,Braeburn,14,0.4,2,2,5
March 4,Braeburn,13,0.35,0,0,0
March 4,Braeburn,12,1.7,6,5,3.529411765
March 4,Braeburn,11,0,0,0,0
March 4,Braeburn,10,0.4,2,2,5
March 4,Braeburn,9,1.85,6,4,3.243243243
March 4,Braeburn,8,0.65,3,3,4.615384615
March 4,Braeburn,7,0,0,0,0
March 4,Braeburn,6,0.3,0,0,0
March 4,Braeburn,5,0,0,0,0
March 4,Braeburn,4,0.25,2,2,8
March 4,Braeburn,3,0.7,0,0,0
March 5,Barlett,20,0.2,0,0,0
March 5,Barlett,29,1.35,2,2,1.481481481
March 5,Barlett,18,0,0,0,0
March 5,Barlett,17,0.45,1,1,2.222222222
March 5,Barlett,16,0.25,1,1,4
March 5,Barlett,15,0.25,0,0,0
March 5,Barlett,14,0.8,1,1,1.25
March 5,Barlett,13,0.15,0,0,0
March 5,Barlett,12,1.25,2,0,1.6
March 5,Barlett,11,0.4,0,0,0
March 5,Barlett,10,0,0,0,0
March 5,Barlett,9,1.1,0,0,0
March 5,Barlett,8,0.2,0,0,0
March 5,Barlett,7,0.55,4,2,7.272727273
March 5,Barlett,6,0,0,0,0
March 5,Barlett,5,0.15,2,2,13.33333333
March 5,Barlett,4,0.35,1,1,2.857142857
March 5,Barlett,3,0.25,0,0,0
March 5,Braeburn,19,0.4,0,0,0
March 5,Braeburn,18,0.75,2,2,2.666666667
March 5,Braeburn,17,0.5,1,0,2
March 5,Braeburn,16,0.2,0,0,0
March 5,Braeburn,15,0.3,2,0,6.666666667
March 5,Braeburn,14,0.25,0,0,0
March 5,Braeburn,13,0.15,0,0,0
March 5,Braeburn,12,0.45,1,1,2.222222222
March 5,Braeburn,11,0.1,0,0,0
March 5,Braeburn,10,0.2,0,0,0
March 5,Braeburn,9,0.13,6,5,46.15384615
March 5,Braeburn,8,0.95,2,1,2.105263158
March 5,Braeburn,7,0.3,0,0,0
March 5,Braeburn,6,0.05,0,0,0
March 5,Braeburn,5,0.15,2,1,13.33333333
March 5,Braeburn,4,0.35,0,0,0
March 5,Braeburn,3,0.8,3,3,3.75
March 6,Bartlett,20,0.3,2,2,6.666666667
March 6,Bartlett,19,0.3,1,1,3.333333333
March 6,Bartlett,18,0,0,0,0
March 6,Bartlett,17,0.4,1,1,2.5
March 6,Bartlett,16,0,0,0,0
March 6,Bartlett,15,0.2,0,0,0
March 6,Bartlett,14,0,0,0,0
March 6,Bartlett,13,0.55,1,1,1.818181818
March 6,Bartlett,12,0,0,0,0
March 6,Bartlett,11,0.25,0,0,0
March 6,Bartlett,10,0.15,0,0,0
March 6,Bartlett,9,0.4,0,0,0
March 6,Bartlett,8,0,1,1,0
March 6,Bartlett,7,0.2,1,1,5
March 6,Bartlett,6,0.15,0,0,0
March 6,Bartlett,5,0.3,3,3,10
March 6,Bartlett,4,0,0,0,0
March 6,Bartlett,3,0,0,0,0
March 6,Braeburn,19,0.65,0,0,0
March 6,Braeburn,18,0.15,3,3,20
March 6,Braeburn,17,0,0,0,0
March 6,Braeburn,16,0.55,0,0,0
March 6,Braeburn,15,0.8,3,3,3.75
March 6,Braeburn,14,1.05,6,6,5.714285714
March 6,Braeburn,13,0,1,1,0
March 6,Braeburn,12,0.35,2,2,5.714285714
March 6,Braeburn,11,0.55,0,0,0
March 6,Braeburn,10,0.5,0,0,0
March 6,Braeburn,9,0.5,1,1,2
March 6,Braeburn,8,0,0,0,0
March 6,Braeburn,7,0,0,0,0
March 6,Braeburn,6,0.2,2,2,10
March 6,Braeburn,5,0.25,0,0,0
March 6,Braeburn,4,0.6,0,0,0
March 6,Braeburn,3,0.25,0,0,0
March 7,Bartlett,20,0,0,0,0
March 7,Bartlett,19,0.4,1,1,2.5
March 7,Bartlett,18,0,0,0,0
March 7,Bartlett,17,0.1,0,0,0
